STU_ID,P1TYPEPS,P1HIDEG2,S2TYPEPS2013,S3REPUTATION,X1PAR2EDU,X3TCREDAPIB,X1MOMEDU,X2PAR2EDU,X3TCREDAPMTH,X1DADEDU,P1HIDEG1,X3TAGPAWGT,X1PAR1EDU,S2FR4Y,X1SESQ5,X1SESQ5_U,X1PAREDU,X2DADEDU,X3THIMATH,X3TCREDGEN,X2MOMEDU,X2X1TXMSCR,X3WORK,X3THILANG,X2SESQ5_U,X3CLGANDWORK,X2TXMTH1,S2FR2YPUB,S3WORK,X2PAREDU,X3T1CREDCALC,X3THISCI,X2TXMTSCOR,X2TXMTH,X2REQLEVEL,X2TXMTH4,X2TXMSCR,X2TXMTH2,X1TXMSCR,S3CLGAPPNUM,X2TXMTH5,X2SESQ5,S3SOCIALLIFE,S2ANYAP,X1TXMTSCOR,S2PSATNUM,S3FOCUS,X3TCREDAPSS,X2PAR1EDU,X1TXMPROF4,X2TXMTH3,A2HIGHERED,X3TCREDAPENG,X3THIPHY,X3TCREDAPSCI,X2TXMPROF5,P1INCOMECAT,A1UNPREP,X2TXMPROF6,X1PAR2OCC2,X1FAMINCOME,S3CHOICEAPPCNTRL,A2PRNTINV,X3TCREDADV,S3CLGCNTRL,N1INVOLVEMNT,X3TGPAWGT,X3T1CREDPHYS,X2TXMPROF4,X3TCREDLANG,C2PCTAP,S2FRCLGEXAM,S2CANTAFFORD,S1PSAT,X1TXMPROF5,S2DEGREE2013,X1TXMPROF3,S2IMPACTIVITY,S2SUREBA,M1INVOLVEMNT,X3TCREDHON,X1TXMQUINT,undermatched
20538,2,4,3,-7,4,2.5,3,5,1.0,4,3,4.0,3,3,5,5,4,0,13,24.5,4,73.5057,1,8,4,5,2.2125,1,1,5,1,5,64.6932,2.2125,5,2.2125,92.8722,2.2125,53.3501,0,2.2125,3,-7,1,61.8642,0,3,0.0,4,0.4835,2.2125,70,0.0,1,1.5,0.885,4,2,0.1268,15,4,-7,3,2.5,-7,2,4.0,1,0.9421,4.0,3,3,3,1,0.1396,3,0.9584,1,1,2,0.0,5,1
20541,3,5,3,1,5,13.0,5,6,3.0,5,5,4.75,5,4,5,5,5,6,13,4.5,6,100.026,3,11,5,5,4.1836,0,3,6,1,5,82.075,4.1836,5,4.1836,113.874,4.1836,68.8946,5,4.1836,5,2,1,79.0766,2,1,5.0,6,0.9952,4.1836,92,2.0,5,2.5,1.0,6,2,0.9927,25,6,1,1,1.5,1,1,4.75,1,0.9999,4.0,60,4,4,1,0.9391,3,1.0,1,1,1,18.0,5,0
20573,3,2,3,1,2,1.0,2,2,0.0,2,2,4.75,2,3,2,2,2,2,12,9.0,2,70.0404,2,6,2,2,1.3789,5,2,2,1,5,57.342,1.3789,3,1.3789,78.7088,1.3789,50.879,2,1.3789,2,2,2,59.7071,0,1,0.0,2,0.333,1.3789,65,0.0,3,1.0,0.1633,4,-8,0.0295,51,4,1,3,1.0,1,4,4.5,1,0.5687,3.0,15,2,3,1,0.1053,3,0.9087,2,1,3,19.0,5,0
20604,3,7,3,2,7,4.0,5,7,1.0,7,5,4.0,5,4,5,5,7,7,13,11.0,6,77.4754,2,0,5,2,2.905,0,2,7,1,5,70.7998,2.905,5,2.905,102.268,2.905,56.1283,3,2.905,5,2,1,64.3147,1,1,0.0,6,0.6655,2.905,65,2.0,0,1.0,0.9967,7,2,0.5422,25,7,1,3,12.5,1,3,4.0,0,0.9935,1.5,50,4,3,3,0.2024,3,0.9843,2,1,-8,0.0,5,0
20618,3,4,3,1,4,8.0,4,5,1.0,5,5,4.75,5,3,5,5,5,6,13,3.0,5,94.2079,2,12,5,2,3.4325,1,2,6,1,5,75.4513,3.4325,4,3.4325,108.438,3.4325,66.4067,6,3.4325,5,3,1,74.6526,3,1,1.0,6,0.9809,3.4325,96,1.0,5,4.0,0.9998,11,2,0.8782,15,11,1,1,8.0,1,1,4.75,1,0.9989,4.0,90,4,4,-9,0.7815,3,0.9998,2,1,1,13.0,5,0
20619,3,4,3,-8,4,1.0,3,5,0.0,4,3,4.0,3,3,3,4,4,5,12,28.0,4,78.658,-8,4,5,-8,1.8886,1,-8,5,1,3,61.8368,1.8886,5,1.8886,87.6166,1.8886,56.9366,-8,1.8886,4,-8,1,65.0343,2,-8,1.0,4,0.7137,1.8886,98,0.0,0,0.0,0.618,-9,3,0.0629,51,5,-8,2,0.0,-8,2,4.0,0,0.8589,2.0,8,4,4,1,0.2271,3,0.9883,2,1,3,2.0,5,0
20620,-8,-8,3,-8,-8,3.5,-8,7,0.0,-8,-8,4.0,-8,4,5,5,-8,7,12,17.0,4,57.952,-8,4,5,-8,2.326,-9,-8,7,1,5,65.6938,2.326,4,2.326,94.5499,2.326,42.2695,-8,2.326,5,-8,1,52.4305,3,-8,2.0,4,0.094,2.326,100,0.0,5,1.0,0.9318,-8,1,0.1657,-8,-8,-8,1,3.0,-8,-8,4.0,1,0.9586,2.0,80,4,3,1,0.0593,3,0.4503,2,1,-8,3.0,4,0
20627,3,4,3,1,4,12.0,4,5,1.0,4,4,4.75,4,3,5,5,4,5,13,5.0,5,78.1263,2,11,5,2,2.503,1,2,5,1,5,67.2547,2.503,4,2.503,97.0323,2.503,56.5746,7,2.503,5,1,1,64.7115,2,1,3.0,5,0.6926,2.503,92,2.0,5,4.0,0.9717,13,2,0.2503,11,13,1,2,12.0,1,2,4.75,1,0.976,4.0,55,4,4,1,0.2156,4,0.9866,1,2,3,10.5,5,0
20655,3,7,3,1,7,2.5,4,7,1.0,7,4,4.0,4,2,5,5,7,7,13,24.0,5,76.5471,2,3,5,2,1.7592,2,2,7,1,5,60.6958,1.7592,4,1.7592,85.3602,1.7592,55.4866,2,1.7592,5,2,1,63.7458,2,1,0.5,5,0.625,1.7592,60,0.0,1,1.0,0.474,5,2,0.0497,21,5,2,-7,6.5,2,1,4.0,1,0.8054,2.0,-6,3,3,1,0.185,3,0.9802,1,1,2,0.0,5,0
20659,3,4,3,1,4,1.0,4,5,0.0,5,5,4.0,5,3,5,5,5,6,11,30.5,5,60.4949,2,9,5,2,1.8055,1,2,6,0,1,61.1041,1.8055,4,1.8055,86.1732,1.8055,44.0922,1,1.8055,5,1,2,53.9181,1,1,1.0,6,0.1164,1.8055,97,0.0,1,0.0,0.5256,7,2,0.0539,43,7,1,1,1.5,1,1,4.0,1,0.8261,4.0,33,4,4,1,0.0639,3,0.5668,1,1,1,1.5,4,0
20662,3,4,3,1,4,2.5,4,5,0.0,4,4,4.5,4,3,5,5,4,5,11,18.5,5,69.9809,2,5,5,2,1.8968,1,2,5,0,2,61.9087,1.8968,4,1.8968,87.757,1.8968,50.8364,3,1.8968,5,1,1,59.6701,2,1,0.5,5,0.3307,1.8968,95,2.0,0,0.0,0.6269,13,2,0.0639,11,13,1,1,5.0,1,2,4.0,0,0.8618,3.0,90,4,3,1,0.1049,3,0.9076,2,1,2,5.0,5,0
20665,3,7,3,1,7,0.0,7,7,0.0,7,7,4.5,7,3,5,5,7,7,12,11.0,7,70.7814,1,5,5,1,2.4199,1,1,7,1,1,66.5214,2.4199,5,2.4199,95.8839,2.4199,51.409,4,2.4199,5,2,2,60.1681,2,1,0.0,7,0.3625,2.4199,98,0.0,1,0.0,0.9569,13,1,0.2067,29,13,2,1,3.0,2,2,4.5,1,0.9689,2.0,-7,2,3,1,0.1114,3,0.9223,1,1,1,10.0,5,0
